date,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,hosp_patients,icu_patients,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence
2021-11-01,Asia,India,6423388,2490,107051,323,60016385,7386,0.904376834,128.313402,55863236,35276326,27381132,12571,19642,1.632946686,69.25933111,1241418161,67.3947016,49.88375059,8.649394523,16.05206333,44313.19995,20.82728617,177.8326547,16.29647406
2021-09-01,North America,Russia,6550634,6980,481184,697,28666409,6862,0.525849636,335.5450872,63799592,67830632,12527528,82753,2713,0.538894875,7.18528735,114516392,694.409929,30.12682341,8.957853835,4.423022089,8196.945011,20.47857901,470.9914199,8.579170088
2022-10-01,Asia,Germany,2234489,7661,20045,624,89212990,91788,0.11529126,384.8184834,97546509,17081923,68932763,7227,13779,2.107027885,70.00750199,1342525124,403.467508,42.95110895,5.32189423,10.52651958,23297.98504,4.591400479,643.5104444,18.08409591
2022-02-01,North America,Germany,9524682,8182,35709,164,67769161,80140,0.821142091,495.3140541,19174474,67878019,66479423,14207,1546,1.960580394,21.04334013,306169513,38.53019139,35.98080079,12.99204685,5.133578133,42927.214,29.95943491,436.8135173,5.587740847
2022-09-01,Europe,France,7204212,2767,305761,572,50107235,82963,0.224764145,132.6633337,94541485,31644235,29921810,78208,2606,0.86926853,80.15261376,41073572,640.8731435,22.8740455,5.453426638,18.75062614,22879.31281,19.84175258,603.6436848,7.853025173
2022-08-01,Europe,France,9628519,1137,453355,603,97474358,27201,0.874182233,31.17074395,20951549,42834681,44249112,53406,19209,1.712735116,94.62468642,133425735,276.3034726,38.57851582,12.40015089,3.574750107,25584.21426,45.1227694,568.0115231,8.950388712
2020-05-01,Europe,Brazil,4523669,3420,457364,454,74336324,49966,0.205339879,355.3439398,23487580,44909086,6698725,85587,3374,2.003932451,31.71959562,862953579,392.4919664,41.68114138,15.22488634,3.927958264,38954.09274,25.17457879,346.3668905,5.394491159
2021-01-01,Asia,Italy,7404852,5845,203675,968,59884192,54774,0.264243937,415.1161824,88247219,18968516,22497724,28879,13173,1.376684802,71.4073306,1066894576,183.135948,26.43604335,24.73504023,4.757938736,47116.22181,46.41224906,581.8495981,17.5913325
2022-04-01,Europe,Brazil,4981505,4778,229167,152,5507774,10386,0.909955063,317.5502687,15548509,28483123,62045437,28845,14627,1.765349398,81.52928706,344138879,513.2849818,49.13414136,15.79918864,11.27613795,11923.96415,25.08203697,217.0809891,11.76523054
2022-09-01,North America,Italy,1766891,3906,381923,736,76087778,77228,0.915591986,452.5132987,4895344,54559303,25224548,10015,6078,1.473939577,99.91623003,881433439,464.9975875,29.21260793,24.25597998,16.40069952,55301.39038,25.09909888,663.1925301,6.088585519
